"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.577872670E-1,7.010222435E0,-7.374141216E-1,5.458779812E0,8.915451487E0
5.628225850E-1,6.991068840E0,-1.283292055E0,5.209783077E0,8.812702295E0
5.678579030E-1,6.339846134E0,-1.771709204E0,4.711789131E0,8.095280065E0
5.728932210E-1,5.755661011E0,-2.173935175E0,3.600879431E0,7.128811997E0
5.778980220E-1,4.587290287E0,-2.710236311E0,2.901772499E0,6.067033598E0
5.829333400E-1,3.332728863E0,-3.466804028E0,1.781286120E0,5.128234792E0
5.879686590E-1,2.039859772E0,-4.242525578E0,1.130063176E0,4.841187246E0
5.929734600E-1,8.523358107E-1,-4.989516258E0,1.426944256E0,5.259079647E0
5.980087780E-1,2.853888512E0,-4.769249916E0,-1.273715258E0,5.701997453E0
6.030440950E-1,2.930502892E0,-4.185064793E0,-2.365471363E0,5.630103843E0
6.080794140E-1,3.169923067E0,-4.673481941E0,-3.543418646E-1,5.658215608E0
6.130842150E-1,3.859453201E0,-4.999093056E0,2.394201756E-1,6.320097500E0
6.181195330E-1,4.759673119E0,-5.248090267E0,9.002198577E-1,7.141941994E0
6.231548510E-1,6.167463779E0,-5.477933407E0,1.350329757E0,8.358753157E0
6.281596520E-1,7.852981567E0,-5.880159378E0,4.003105164E0,1.059577485E1
6.331949700E-1,8.944737434E0,-5.985504150E0,7.527369976E0,1.313376894E1
6.382302880E-1,9.414001465E0,-6.272808552E0,9.270348549E0,1.462569359E1
6.432656060E-1,8.705317497E0,-6.550535679E0,9.241618156E0,1.428634231E1
6.482704070E-1,7.412448406E0,-6.943184853E0,7.584830761E0,1.267603506E1
6.533057260E-1,6.607996464E0,-6.828263283E0,5.908889771E0,1.118953864E1
6.583410430E-1,6.358999729E0,-6.464344501E0,4.453215122E0,1.010226471E1
6.633763610E-1,6.234501362E0,-5.726930618E0,3.045424461E0,8.996741170E0
6.683811620E-1,7.402871609E0,-5.228936672E0,1.800439715E0,9.240447497E0
6.734164810E-1,8.370129585E0,-4.625597477E0,4.884171486E-1,9.575686534E0
6.784517990E-1,8.283937454E0,-4.137180328E0,2.873042040E-2,9.259627760E0
6.834566000E-1,7.517793179E0,-3.993528366E0,-9.576807022E-1,8.566366523E0
