"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.022799970E-1,-1.379060149E0,1.110909581E0,9.174580574E0,9.343920789E0
6.073153090E-1,-1.436521053E0,1.101332784E0,8.762778282E0,8.947782399E0
6.123506220E-1,-1.484405041E0,1.158793569E0,8.513781548E0,8.719560602E0
6.173554180E-1,-1.561019540E0,1.235408068E0,8.398859978E0,8.631562085E0
6.223907320E-1,-1.532289028E0,1.225831270E0,8.350975990E0,8.578424795E0
6.274260440E-1,-1.580173135E0,1.216254473E0,8.283937454E0,8.520554080E0
6.324613570E-1,-1.589749932E0,1.273715258E0,8.360552788E0,8.605143713E0
6.374661530E-1,-1.474828243E0,1.273715258E0,8.418013573E0,8.640626217E0
6.425014670E-1,-1.493981838E0,1.292868972E0,8.465897560E0,8.693383312E0
6.475367790E-1,-1.350329757E0,1.273715258E0,8.580819130E0,8.779305095E0
6.525720920E-1,-1.139639974E0,1.292868972E0,8.542511940E0,8.714631357E0
6.576074050E-1,-9.672574997E-1,1.130063176E0,8.619126320E0,8.746540366E0
6.626122020E-1,-7.852981687E-1,1.091755986E0,8.609549522E0,8.713952451E0
6.676475140E-1,-7.086837292E-1,1.043871999E0,8.734047890E0,8.824709282E0
6.726828270E-1,-5.458779931E-1,9.768342972E-1,8.753201485E0,8.824439034E0
6.777181400E-1,-6.224924326E-1,8.427590132E-1,8.916007042E0,8.977356022E0
6.827229360E-1,-6.224924326E-1,7.757213712E-1,8.992621422E0,9.047457130E0
6.877582490E-1,-7.182605267E-1,6.799532771E-1,9.212887764E0,9.265826223E0
6.927935620E-1,-8.523358107E-1,6.033388376E-1,9.528923035E0,9.585972475E0
6.978288750E-1,-9.097966552E-1,4.501099288E-1,9.710882187E0,9.763788289E0
7.028641880E-1,-9.672574997E-1,4.692635238E-1,9.940725327E0,9.998690681E0
7.078689840E-1,-8.906430602E-1,4.213795066E-1,1.016099167E1,1.020865111E1
7.129042970E-1,-8.906430602E-1,3.734954596E-1,1.027591324E1,1.032119842E1
7.179396100E-1,-8.619126081E-1,4.405331016E-1,1.042914295E1,1.047396704E1
7.229749230E-1,-8.427590132E-1,4.788403511E-1,1.046745014E1,1.051223303E1
7.279797190E-1,-8.044517636E-1,4.405331016E-1,1.052491093E1,1.056479825E1
7.330150310E-1,-7.661445141E-1,4.979939461E-1,1.059194851E1,1.063129101E1
7.380503450E-1,-7.757213712E-1,4.692635238E-1,1.049618053E1,1.053526258E1
7.430856580E-1,-7.565677166E-1,5.841852427E-1,1.060152531E1,1.064452939E1
7.480904540E-1,-7.565677166E-1,6.033388376E-1,1.055364132E1,1.059791289E1
7.531257660E-1,-7.757213712E-1,6.703764796E-1,1.045787334E1,1.050800948E1
7.581610800E-1,-6.703764796E-1,5.937620401E-1,1.044829655E1,1.048660377E1
7.631963920E-1,-6.416460276E-1,6.320692301E-1,1.026633644E1,1.030576950E1
7.682317050E-1,-5.554547906E-1,5.171475410E-1,9.883264542E0,9.912360446E0
7.732365010E-1,-4.979939461E-1,4.118026793E-1,9.662998199E0,9.684581231E0
7.782718150E-1,-5.554547906E-1,3.830722570E-1,9.509769440E0,9.533676582E0
7.833071270E-1,-6.033388376E-1,4.118026793E-1,9.289502144E0,9.318178431E0
7.883424400E-1,-6.799532771E-1,3.543418646E-1,9.059659004E0,9.092046848E0
7.933777540E-1,-8.236053586E-1,2.968810201E-1,8.983044624E0,9.025605512E0
7.983825500E-1,-8.714894056E-1,4.213795066E-1,8.925583839E0,8.977922997E0
8.034178620E-1,-8.236053586E-1,4.309563041E-1,9.059659004E0,9.107220783E0
8.084531750E-1,-8.236053586E-1,4.022258818E-1,9.021351814E0,9.067794660E0
8.134884880E-1,-8.714894056E-1,4.979939461E-1,9.126696587E0,9.181725455E0
8.184932850E-1,-7.661445141E-1,5.458779931E-1,9.299078941E0,9.346541037E0
8.235285970E-1,-6.703764796E-1,6.703764796E-1,9.375694275E0,9.423505313E0
8.285639100E-1,-6.224924326E-1,7.374141216E-1,9.519346237E0,9.568136140E0
8.335992230E-1,-4.596867263E-1,8.523358107E-1,9.662998199E0,9.711401671E0
8.386345360E-1,-3.639186621E-1,9.002198577E-1,9.911994934E0,9.959441559E0
8.436393320E-1,-2.777273953E-1,9.193734527E-1,1.011310768E1,1.015860852E1
8.486746450E-1,-1.628057212E-1,9.768342972E-1,1.033337498E1,1.038072008E1
8.537099580E-1,-1.340752989E-1,1.015141487E0,1.057279491E1,1.062226345E1
8.587452710E-1,-7.661445439E-2,9.864110947E-1,1.058237171E1,1.062852142E1
8.637500670E-1,9.576806799E-3,9.576807022E-1,1.062067890E1,1.066377346E1
8.687853800E-1,-7.661445439E-2,1.005564690E0,1.064940929E1,1.069705326E1
8.738206930E-1,-2.873041928E-1,1.110909581E0,1.074517727E1,1.080627125E1
8.788560060E-1,-2.873041928E-1,1.043871999E0,1.068771648E1,1.074241575E1
8.838913190E-1,-1.244984865E-1,8.810662031E-1,1.053448772E1,1.057200119E1
8.888961140E-1,1.915361360E-2,9.097966552E-1,1.044829655E1,1.048785000E1
8.939314280E-1,2.011129409E-1,8.523358107E-1,1.043871975E1,1.047538986E1
8.989667410E-1,1.340752989E-1,7.565677166E-1,1.036210537E1,1.039055333E1
9.040020540E-1,1.149216816E-1,6.895300746E-1,1.021845245E1,1.024233515E1
9.090373670E-1,-6.703764945E-2,6.129156351E-1,1.021845245E1,1.023703718E1
9.140421630E-1,-1.628057212E-1,6.895300746E-1,9.988609314E0,1.001370428E1
9.190774760E-1,-2.968810201E-1,7.469909191E-1,9.902418137E0,9.934989619E0
9.241127890E-1,-3.351882398E-1,7.661445141E-1,9.682151794E0,9.718199007E0
9.291481020E-1,-3.734954596E-1,7.565677166E-1,9.586383820E0,9.623442643E0
9.341834140E-1,-4.405331016E-1,6.607996821E-1,9.452308655E0,9.485613556E0
9.391882100E-1,-5.075707436E-1,6.895300746E-1,9.346963882E0,9.386096825E0
9.442235240E-1,-5.650315881E-1,6.416460276E-1,9.308655739E0,9.347836219E0
9.492588370E-1,-6.607996821E-1,5.650315881E-1,9.279925346E0,9.320564969E0
9.542941490E-1,-6.895300746E-1,6.224924326E-1,9.299078941E0,9.345363434E0
9.593294630E-1,-6.703764796E-1,6.416460276E-1,9.375694275E0,9.421505049E0
9.643342580E-1,-6.320692301E-1,6.895300746E-1,9.509769440E0,9.555662093E0
9.693695710E-1,-6.607996821E-1,6.607996821E-1,9.615114212E0,9.660420992E0
9.744048840E-1,-5.554547906E-1,7.182605267E-1,9.758766174E0,9.800915542E0
9.794401980E-1,-4.309563041E-1,7.948749661E-1,9.835380554E0,9.876854772E0
9.844449930E-1,-2.968810201E-1,8.810662031E-1,9.787496567E0,9.831556593E0
9.894803060E-1,-9.576806426E-2,9.385270476E-1,9.921571732E0,9.966322801E0
9.945156190E-1,2.873042040E-2,1.206677675E0,9.825803757E0,9.899662414E0
9.995509330E-1,1.723825186E-1,1.264138460E0,9.749189377E0,9.832316883E0
1.004555728E0,3.351882398E-1,1.407790542E0,9.825803757E0,9.931799677E0
1.009591041E0,4.692635238E-1,1.618480325E0,9.720458984E0,9.865445235E0
1.014626354E0,4.788403511E-1,1.723825216E0,9.653421402E0,9.817810663E0
1.019661667E0,5.458779931E-1,1.886630893E0,9.672574997E0,9.869957750E0
1.024696980E0,4.884171486E-1,2.020706177E0,9.701305389E0,9.921548822E0
1.029701776E0,4.692635238E-1,2.001552582E0,9.797073364E0,1.001044792E1
1.034737089E0,4.309563041E-1,2.106897593E0,9.959878922E0,1.018940278E1
1.039772402E0,4.118026793E-1,2.145204782E0,1.004607010E1,1.028080782E1
1.044807715E0,4.979939461E-1,2.097320795E0,1.010353088E1,1.033092875E1
1.049812511E0,3.830722570E-1,2.116474390E0,9.979032516E0,1.020819760E1
1.054847824E0,1.819593310E-1,2.068590164E0,1.007480049E1,1.028658249E1
1.059883137E0,1.149216816E-1,1.915361404E0,1.011310768E1,1.029353017E1
1.064918450E0,-1.340752989E-1,1.742978811E0,1.008437729E1,1.023477487E1
1.069953762E0,-1.915361285E-1,1.570596337E0,1.011310768E1,1.023613237E1
1.074958559E0,-3.830722570E-1,1.436521053E0,1.000776291E1,1.011759139E1
1.079993872E0,-4.979939461E-1,1.350329757E0,9.979032516E0,1.008228538E1
1.085029185E0,-5.075707436E-1,1.235408068E0,9.835380554E0,9.925652210E0
1.090064497E0,-5.937620401E-1,1.130063176E0,9.825803757E0,9.908381079E0
1.095099811E0,-7.182605267E-1,9.768342972E-1,9.730035782E0,9.805289376E0
1.100104607E0,-7.948749661E-1,9.672574997E-1,9.701305389E0,9.781755443E0
1.105139920E0,-9.385270476E-1,9.385270476E-1,9.557653427E0,9.649373299E0
1.110175232E0,-1.034295082E0,9.193734527E-1,9.490615845E0,9.590975079E0
1.115210546E0,-1.072602391E0,9.193734527E-1,9.500192642E0,9.604654271E0
1.120215342E0,-1.091755986E0,9.097966552E-1,9.509769440E0,9.615371854E0
