"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.128219990E-1,1.221042824E1,-5.822698593E0,2.873042107E0,1.382941603E1
8.178573140E-1,1.150174522E1,-5.966350555E0,2.164358377E0,1.313666355E1
8.228926300E-1,1.101332760E1,-6.062118530E0,1.800439715E0,1.269977358E1
8.279279450E-1,9.730035782E0,-7.010222435E0,1.723825216E0,1.211562579E1
8.329632600E-1,9.777919769E0,-7.201758862E0,1.436521053E0,1.222851743E1
8.379680590E-1,9.950302124E0,-7.125144482E0,1.158793569E0,1.229304677E1
8.430033750E-1,1.073560047E1,-6.234501362E0,8.619126081E-1,1.244447741E1
8.480386900E-1,1.155920601E1,-5.104437828E0,5.267243981E-1,1.264705372E1
8.530740050E-1,1.223915863E1,-4.204218388E0,-1.053448766E-1,1.294154372E1
8.581093210E-1,1.239238834E1,-3.591302633E0,-1.072602391E0,1.294678413E1
8.631141200E-1,1.215296745E1,-3.055001259E0,-2.183511972E0,1.271988110E1
8.681494350E-1,1.180820274E1,-3.055001259E0,-3.169923067E0,1.260218620E1
8.731847500E-1,1.142513084E1,-3.524264812E0,-3.974374771E0,1.259959174E1
8.782200660E-1,1.021845245E1,-4.472368717E0,-5.085284233E0,1.225883225E1
8.832553810E-1,9.270348549E0,-5.161899090E0,-6.042964935E0,1.221073256E1
8.882601790E-1,7.824251175E0,-5.985504150E0,-7.249642849E0,1.223120958E1
8.932954940E-1,7.872135162E0,-5.592854977E0,-8.034940720E0,1.256227731E1
8.983308110E-1,7.996633530E0,-5.353435040E0,-8.532935143E0,1.286143058E1
9.033661260E-1,7.948749542E0,-5.410895824E0,-8.944737434E0,1.313273546E1
9.084014420E-1,7.738059998E0,-5.650316238E0,-8.657433510E0,1.291335747E1
9.134062390E-1,7.469909191E0,-5.928043365E0,-6.876147270E0,1.175681261E1
9.184415550E-1,7.862558365E0,-6.684611320E0,-5.889736176E0,1.188245954E1
9.234768700E-1,6.809109688E0,-7.546523571E0,-6.789956093E0,1.222364498E1
9.285121860E-1,5.679046631E0,-6.914454460E0,-5.679046631E0,1.059777438E1
9.335169840E-1,4.692635536E0,-6.464344501E0,-3.552995205E0,8.742559867E0
9.385523000E-1,4.338293552E0,-6.971915245E0,-7.086837292E-1,8.242003747E0
9.435876150E-1,4.730942726E0,-7.862558365E0,4.596867263E-1,9.187652312E0
9.486229310E-1,5.554547787E0,-7.996633530E0,1.206677675E0,9.810974464E0
9.536582460E-1,6.157886982E0,-7.920019150E0,1.733402014E0,1.018091145E1
9.586630450E-1,6.301538944E0,-7.939172745E0,2.327163935E0,1.039978600E1
9.636983600E-1,6.282385349E0,-8.264783859E0,3.217807055E0,1.086873038E1
9.687336760E-1,5.880159378E0,-8.427590370E0,3.849876404E0,1.097370047E1
9.737689910E-1,5.257667065E0,-8.494627953E0,3.552995205E0,1.060309115E1
9.788043060E-1,5.056553841E0,-8.619126320E0,3.160346270E0,1.048073775E1
9.838091040E-1,4.807557106E0,-8.599972725E0,2.652775526E0,1.020339915E1
9.888444200E-1,4.941632271E0,-8.743624687E0,2.643198729E0,1.038543219E1
9.938797360E-1,5.056553841E0,-9.078812599E0,2.844311714E0,1.077421385E1
9.989150510E-1,5.152322292E0,-9.452308655E0,3.562572241E0,1.133950990E1
1.003950367E0,4.443638325E0,-9.356540680E0,4.663905144E0,1.135970009E1
1.008955165E0,4.414907932E0,-9.624691010E0,5.506663799E0,1.193521828E1
1.013990480E0,4.347870350E0,-9.624691010E0,5.650316238E0,1.197767620E1
1.019025795E0,4.223371983E0,-9.538499832E0,5.228936672E0,1.166883150E1
1.024061111E0,3.830722809E0,-9.567230225E0,4.424484730E0,1.121527514E1
1.029065910E0,3.505111217E0,-9.595960617E0,4.079719543E0,1.100056255E1
1.034101225E0,3.620033026E0,-9.528923035E0,3.974374771E0,1.094078005E1
1.039136540E0,4.242525578E0,-9.548076630E0,3.639186621E0,1.106383613E1
1.044171856E0,4.922478676E0,-9.509769440E0,3.055001259E0,1.113550824E1
1.049207171E0,5.535394192E0,-9.538499832E0,2.346317768E0,1.127513969E1
1.054211970E0,6.177040577E0,-9.835380554E0,1.695094824E0,1.173728620E1
1.059247285E0,6.847416878E0,-1.042914295E1,9.481038451E-1,1.251211579E1
1.064282601E0,7.115567684E0,-1.107078838E1,2.873042040E-2,1.316033755E1
1.069317916E0,7.058106422E0,-1.159751320E1,-9.768342972E-1,1.361151659E1
1.074322714E0,6.406883717E0,-1.133893967E1,-2.231395960E0,1.321358542E1
1.079358029E0,5.928043365E0,-1.086967564E1,-2.853888512E0,1.270575563E1
1.084393346E0,5.928043365E0,-1.035252857E1,-3.236960649E0,1.236100563E1
1.089428661E0,6.062118530E0,-9.691728592E0,-3.983951569E0,1.210581490E1
1.094463976E0,6.521805286E0,-9.050082207E0,-4.568136692E0,1.205428575E1
1.099468774E0,7.010222435E0,-8.542511940E0,-4.951209068E0,1.210917834E1
1.104504090E0,7.441178799E0,-8.283937454E0,-5.382165432E0,1.236779958E1
1.109539405E0,7.632715225E0,-8.255207062E0,-5.200206280E0,1.238745053E1
1.114574720E0,7.575253963E0,-8.781931877E0,-4.836287498E0,1.256568649E1
1.119579519E0,7.326257229E0,-9.299078941E0,-4.970362663E0,1.283944777E1
1.124614835E0,6.531382084E0,-1.002691650E1,-5.085284233E0,1.300223528E1
1.129650150E0,5.525817394E0,-1.082179165E1,-4.845864296E0,1.308159903E1
1.134685465E0,4.807557106E0,-1.153047562E1,-4.328716755E0,1.322128065E1
1.139720781E0,4.501099110E0,-1.224873543E1,-3.869029999E0,1.361105455E1
1.144725580E0,4.376600742E0,-1.271799946E1,-2.940079689E0,1.376757832E1
1.149760895E0,4.031835556E0,-1.281376743E1,-1.244984865E0,1.349067534E1
1.154796210E0,3.897760391E0,-1.306276417E1,-8.619126081E-1,1.365910821E1
1.159831526E0,4.127603531E0,-1.292868900E1,-3.351882398E-1,1.357573060E1
1.164836324E0,4.568136692E0,-1.294784260E1,7.565677166E-1,1.375088708E1
1.169871639E0,4.836287498E0,-1.274672985E1,1.283292055E0,1.369363491E1
1.174906954E0,4.941632271E0,-1.228704357E1,9.002198577E-1,1.327409376E1
1.179942271E0,5.094861031E0,-1.180820274E1,2.298433632E-1,1.286250710E1
1.184977586E0,5.726930618E0,-1.114740276E1,-2.777273953E-1,1.253552772E1
1.189982384E0,6.627150536E0,-1.068771648E1,-6.703764796E-1,1.259348294E1
1.195017699E0,7.508216381E0,-1.021845245E1,-1.005564690E0,1.272011180E1
1.200053015E0,8.197746277E0,-9.883264542E0,-1.292868972E0,1.290555974E1
1.205088330E0,8.772355080E0,-9.442731857E0,-1.340752959E0,1.295827987E1
1.210093129E0,9.126696587E0,-9.605537415E0,-1.130063176E0,1.329811951E1
1.215128444E0,8.868123055E0,-1.033337498E1,-6.512228847E-1,1.363254694E1
1.220163760E0,7.757213593E0,-1.018972206E1,-1.790862918E0,1.293104746E1
1.225199075E0,7.575253963E0,-1.025675964E1,-1.628057122E0,1.285442185E1
1.230203874E0,7.671022415E0,-1.051533413E1,-7.278373241E-1,1.303635624E1
1.235239189E0,7.862558365E0,-1.095586681E1,1.915361285E-1,1.348656842E1
1.240274505E0,7.642292023E0,-1.140597725E1,1.350329757E0,1.379580860E1
1.245309820E0,7.192182064E0,-1.158793640E1,2.997540474E0,1.396398946E1
1.250345136E0,6.751648903E0,-1.131978607E1,4.127603531E0,1.381156872E1
1.255349933E0,5.995080948E0,-1.056321812E1,4.338293552E0,1.289741693E1
1.260385249E0,5.803544998E0,-1.034295177E1,4.481945515E0,1.267854966E1
1.265420564E0,6.148310184E0,-1.075475407E1,4.606443882E0,1.321687476E1
1.270455879E0,6.177040577E0,-1.085052204E1,4.558559895E0,1.329173153E1
1.275460678E0,6.272808552E0,-1.086967564E1,4.386177540E0,1.329422916E1
1.280495994E0,6.675034523E0,-1.057279491E1,4.683058739E0,1.335182075E1
1.285531309E0,7.211335659E0,-1.000776291E1,4.127603531E0,1.300752826E1
1.290566624E0,7.345410824E0,-9.595960617E0,3.629609823E0,1.261790743E1
1.295601940E0,7.326257229E0,-9.318233490E0,2.729389906E0,1.216359690E1
1.300606739E0,6.550535679E0,-8.963891029E0,1.244984865E0,1.117187752E1
1.305642054E0,5.937620163E0,-9.069235802E0,-5.075707436E-1,1.085191224E1
1.310677369E0,5.544970989E0,-9.490615845E0,-1.541865945E0,1.109936228E1
1.315712685E0,5.037400246E0,-9.844957352E0,-2.020706177E0,1.124196780E1
1.320717484E0,4.616020679E0,-1.023760605E1,-2.336740971E0,1.147068363E1
1.325752799E0,4.165910721E0,-1.036210537E1,-1.733402014E0,1.130189021E1
1.330788114E0,3.418920040E0,-1.019929886E1,-1.704671621E0,1.089130923E1
1.335823430E0,3.754108191E0,-1.055364132E1,-1.063025594E0,1.125178638E1
1.340828228E0,4.663905144E0,-1.096544361E1,2.681505978E-1,1.191909684E1
1.345863543E0,5.104437828E0,-1.080263805E1,1.704671621E0,1.206889306E1
1.350898858E0,4.884171486E0,-1.012268448E1,3.227383852E0,1.169358280E1
1.355934174E0,4.213795185E0,-9.414001465E0,4.050989151E0,1.108106523E1
1.360969489E0,3.495534420E0,-8.734047890E0,4.999093056E0,1.065332271E1
1.365974288E0,3.256114244E0,-8.485051155E0,5.066130638E0,1.040500133E1
1.371009603E0,3.457227230E0,-8.092401505E0,4.702212334E0,9.977483804E0
1.376044919E0,5.238513470E0,-8.350975990E0,4.759673119E0,1.094693160E1
1.381080234E0,5.219359875E0,-8.552088737E0,6.090848923E0,1.172511748E1
1.386085033E0,4.098873138E0,-9.404424667E0,5.248090267E0,1.152329882E1
1.391120348E0,4.185064793E0,-1.083136845E1,7.000645638E0,1.355884763E1
1.396155664E0,3.543418407E0,-1.087925243E1,1.256477070E1,1.699374621E1
1.401190979E0,3.677493811E0,-1.003649330E1,1.421198082E1,1.778301317E1
1.406226295E0,1.647210717E0,-8.283937454E0,1.650083733E1,1.853684319E1
1.411231093E0,1.034295082E0,-7.958326340E0,9.452308655E0,1.239963158E1
1.416266409E0,3.667917013E0,-8.705317497E0,6.014234543E0,1.119853495E1
1.421301724E0,5.956773758E0,-8.427590370E0,5.746084213E0,1.181206658E1
1.426337040E0,5.085284233E0,-6.540958881E0,5.066130638E0,9.711330417E0
1.431341837E0,5.458779812E0,-6.368576527E0,6.675034523E0,1.071975419E1
1.436377153E0,5.181052685E0,-6.607996464E0,6.177040577E0,1.042423880E1
1.441412468E0,5.746084213E0,-6.339846134E0,5.822698593E0,1.034963534E1
1.446447784E0,5.506663799E0,-6.042964935E0,4.213795185E0,9.197654118E0
1.451483099E0,5.133168221E0,-5.410895824E0,3.849876404E0,8.393375836E0
1.456487898E0,4.750096321E0,-5.324704647E0,2.930502892E0,7.713866854E0
1.461523213E0,4.625597477E0,-5.631162167E0,2.346317768E0,7.655804754E0
1.466558529E0,5.085284233E0,-5.736507416E0,1.561019540E0,7.823325065E0
1.471593844E0,5.094861031E0,-5.401319027E0,1.149216771E0,7.513491554E0
1.476598643E0,4.807557106E0,-5.544970989E0,1.628057212E-1,7.340695764E0
1.481633958E0,4.922478676E0,-6.177040577E0,-4.884171486E-1,7.913607137E0
1.486669274E0,4.960785866E0,-7.096413612E0,-3.734954596E-1,8.666486106E0
1.491704589E0,4.395754337E0,-7.718906403E0,1.781286120E0,9.059644170E0
1.496739904E0,4.261679173E0,-8.044517517E0,5.880159378E0,1.083754796E1
1.501744702E0,3.294421434E0,-8.283937454E0,5.190629482E0,1.031598113E1
1.506780018E0,3.418920040E0,-8.494627953E0,2.930502892E0,9.614341657E0
1.511815334E0,2.748543501E0,-8.561665535E0,1.158793569E0,9.066389063E0
1.516850649E0,2.355894566E0,-8.159439087E0,-1.723825186E-1,8.494492401E0
1.521855447E0,2.298433542E0,-7.795520782E0,2.394201756E-1,8.130821794E0
1.526890762E0,2.288856745E0,-7.479485989E0,-5.746084079E-2,7.822076297E0
1.531926078E0,3.399766445E0,-7.182605267E0,4.022258818E-1,7.956759137E0
1.536961393E0,5.209783077E0,-6.636727333E0,2.355894566E0,8.760035879E0
1.541996709E0,6.311115742E0,-5.975927353E0,3.725377798E0,9.456232303E0
1.547001507E0,6.454767704E0,-5.880159378E0,4.951209068E0,1.003766764E1
1.552036823E0,7.393294811E0,-6.435614109E0,9.193734169E0,1.343884984E1
1.557072138E0,7.623138428E0,-6.770802498E0,1.303403378E1,1.654817339E1
1.562107454E0,7.374141216E0,-6.062118530E0,1.093671322E1,1.451685006E1
1.567112252E0,6.282385349E0,-6.588842869E0,7.546523571E0,1.182502575E1
1.572147568E0,4.539406300E0,-6.320692539E0,6.675034523E0,1.025248505E1
1.577182883E0,3.878606796E0,-6.531382084E0,7.383718014E0,1.059348075E1
1.582218199E0,4.175487995E0,-6.636727333E0,7.632715225E0,1.094254045E1
1.587253514E0,4.778826714E0,-6.598419666E0,8.925583839E0,1.208479928E1
1.592258312E0,4.788403511E0,-6.464344501E0,9.452308655E0,1.241219952E1
1.597293627E0,4.874594688E0,-6.378153324E0,9.126696587E0,1.215479756E1
1.602328944E0,4.625597477E0,-6.291962147E0,8.532935143E0,1.156701871E1
1.607364259E0,4.338293552E0,-6.100425720E0,7.268796444E0,1.043414523E1
1.612369057E0,4.223371983E0,-6.129156113E0,5.937620163E0,9.521489314E0
1.617404372E0,3.409343243E0,-6.081272125E0,5.439626217E0,8.842795112E0
1.622439688E0,2.633621931E0,-6.493074894E0,4.644751072E0,8.406527141E0
1.627475003E0,2.183511972E0,-6.924031258E0,4.213795185E0,8.394403091E0
1.632479802E0,2.059013367E0,-7.029376030E0,4.175487995E0,8.431272941E0
1.637515117E0,1.905784607E0,-7.125144482E0,3.792415380E0,8.293498253E0
1.642550433E0,2.059013367E0,-7.354987621E0,2.978386879E0,8.197936774E0
1.647585748E0,2.240972757E0,-7.728483200E0,3.543418407E0,8.792452757E0
