"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.663208760E-1,9.576807022E-1,-4.788403213E-2,8.868123055E0,8.919812314E0
4.713256720E-1,1.235408068E0,-3.830722719E-2,9.212887764E0,9.295429064E0
4.763609850E-1,1.522712231E0,1.915361285E-1,9.691728592E0,9.812489069E0
4.813962980E-1,1.972822189E0,3.926490843E-1,9.950302124E0,1.015158673E1
4.864316110E-1,2.327163935E0,5.746083856E-1,1.008437729E1,1.036535248E1
4.914364080E-1,2.652775526E0,7.852981687E-1,1.025675964E1,1.062332479E1
4.964717200E-1,3.083731890E0,1.149216771E0,1.039083576E1,1.089952152E1
5.015070330E-1,3.485957623E0,1.493981838E0,1.075475407E1,1.140388606E1
5.065423460E-1,4.022258759E0,1.886630893E0,1.112824917E1,1.198231493E1
5.115776590E-1,4.338293552E0,2.365471363E0,1.132936287E1,1.236004485E1
5.165824550E-1,4.558559895E0,2.700659513E0,1.157835960E1,1.273312378E1
5.216177680E-1,4.558559895E0,2.959233284E0,1.180820274E1,1.299889157E1
5.266530810E-1,4.261679173E0,3.131615877E0,1.067813969E1,1.191602260E1
5.316578770E-1,3.552995205E0,3.141192675E0,9.260771751E0,1.040445865E1
5.366931900E-1,2.758120298E0,2.892195702E0,8.092401505E0,9.025463183E0
5.417285030E-1,2.442085743E0,3.026270866E0,7.738059998E0,8.660235023E0
5.467638160E-1,2.049436569E0,3.045424461E0,7.613561630E0,8.452284963E0
5.517686120E-1,1.714248419E0,2.806004286E0,7.479485989E0,8.170374431E0
5.568039250E-1,1.532289028E0,2.432508945E0,7.699752808E0,8.218953871E0
5.618392380E-1,1.216254473E0,2.011129379E0,8.025363922E0,8.362438783E0
5.668745510E-1,9.576807022E-1,1.465251446E0,8.571242332E0,8.748160335E0
5.718793470E-1,4.884171486E-1,9.864110947E-1,8.858546257E0,8.926667908E0
5.769146600E-1,9.576806799E-3,6.224924326E-1,9.404424667E0,9.425008852E0
5.819499730E-1,-7.182605267E-1,4.501099288E-1,1.044829655E1,1.048262362E1
5.869852860E-1,-1.321599364E0,1.244984865E-1,1.153047562E1,1.160663572E1
5.919900820E-1,-1.829170108E0,-9.576806799E-3,1.276588345E1,1.289626826E1
5.970253950E-1,-2.375048161E0,-3.926490843E-1,1.349372101E1,1.370676963E1
6.020607080E-1,-2.834734917E0,-7.757213712E-1,1.443224812E1,1.472845041E1
6.070960210E-1,-2.844311714E0,-1.235408068E0,1.516008472E1,1.547399467E1
6.121008170E-1,-2.873042107E0,-1.503558636E0,1.558146477E1,1.591531036E1
6.171361300E-1,-2.652775526E0,-1.608903527E0,1.573469353E1,1.603765472E1
6.221714430E-1,-2.528276920E0,-1.695094824E0,1.567723274E1,1.597000805E1
6.271762390E-1,-2.269703150E0,-1.656787634E0,1.538035202E1,1.563495206E1
6.322115520E-1,-1.762132406E0,-1.455674648E0,1.506431675E1,1.523672335E1
6.372468650E-1,-1.436521053E0,-1.398213744E0,1.444182491E1,1.458029153E1
6.422821780E-1,-1.206677675E0,-1.053448796E0,1.432690334E1,1.441617095E1
6.472869740E-1,-7.182605267E-1,-4.501099288E-1,1.432690334E1,1.435195654E1
6.523222870E-1,3.830722719E-2,4.405331016E-1,1.427901936E1,1.428586471E1
6.573576000E-1,6.512228847E-1,1.120486379E0,1.433648014E1,1.439493813E1
6.623623960E-1,1.608903527E0,1.800439715E0,1.333091545E1,1.354782125E1
6.673977090E-1,2.212242365E0,2.671929121E0,1.219127464E1,1.267518832E1
6.724330220E-1,2.882618904E0,3.763684988E0,1.073560047E1,1.173575451E1
6.774683350E-1,3.083731890E0,4.395754337E0,9.634267807E0,1.102955914E1
6.824731310E-1,2.499546528E0,4.405331135E0,1.023760605E1,1.142205117E1
6.875084440E-1,1.493981838E0,3.543418407E0,1.192312431E1,1.252791639E1
6.925437570E-1,4.979939461E-1,2.509123325E0,1.362779617E1,1.386580421E1
6.975485530E-1,-1.532289088E-1,1.264138460E0,1.527500725E1,1.532799307E1
7.025838660E-1,-7.757213712E-1,-9.576806426E-2,1.697010231E1,1.698809252E1
7.076191790E-1,-1.398213744E0,-1.561019540E0,1.880884933E1,1.892523704E1
7.126239750E-1,-2.068590164E0,-2.892195702E0,1.982398987E1,2.014036831E1
7.176592880E-1,-2.413355350E0,-3.811569214E0,2.004425621E1,2.054566988E1
7.226946010E-1,-2.308010340E0,-4.252102375E0,1.974737549E1,2.033140735E1
7.277299140E-1,-1.685518026E0,-4.194641590E0,1.910573006E1,1.963326030E1
7.327347100E-1,-9.672574997E-1,-3.744531393E0,1.809058762E1,1.849936385E1
7.377700230E-1,-1.244984865E-1,-2.901772499E0,1.682645035E1,1.707528081E1
7.428053360E-1,1.120486379E0,-1.790862918E0,1.539950562E1,1.554372712E1
7.478101320E-1,2.652775526E0,-8.044517636E-1,1.446097851E1,1.472427452E1
7.528454450E-1,4.271255970E0,-2.011129409E-1,1.391510010E1,1.455726914E1
7.578807580E-1,5.908889771E0,2.873041928E-1,1.337879944E1,1.462839008E1
7.629160720E-1,6.971915245E0,4.884171486E-1,1.267011547E1,1.446989909E1
7.679208670E-1,7.316680431E0,6.033388376E-1,1.204762268E1,1.410826150E1
7.729561800E-1,7.335834026E0,6.033388376E-1,1.172201157E1,1.384138843E1
7.779914930E-1,7.268796444E0,3.256114423E-1,1.179862595E1,1.386178195E1
7.829962890E-1,7.058106422E0,-1.819593310E-1,1.180820274E1,1.375803865E1
7.880316020E-1,6.052541733E0,-1.398213744E0,1.059194851E1,1.227915454E1
7.930669150E-1,5.995080948E0,-9.385270476E-1,1.170285797E1,1.318251544E1
7.981022280E-1,6.004657745E0,-4.979939461E-1,1.230619717E1,1.370205829E1
8.031070240E-1,5.947196960E0,-5.746084079E-2,1.289995861E1,1.420497749E1
8.081423370E-1,5.956773758E0,-3.830722719E-2,1.296699619E1,1.426981469E1
8.131776500E-1,6.406883717E0,-2.106897533E-1,1.283292103E1,1.434490890E1
8.182129630E-1,7.153874874E0,-1.340752989E-1,1.245942593E1,1.436778328E1
8.232177590E-1,7.259219646E0,-9.576806799E-3,1.262223148E1,1.456080661E1
8.282530720E-1,7.374141216E0,2.298433632E-1,1.216254425E1,1.422526869E1
8.332883850E-1,7.259219646E0,3.064578176E-1,1.183693314E1,1.388895865E1
8.382931800E-1,7.048529625E0,3.734954596E-1,1.124317074E1,1.327517069E1
8.433284940E-1,6.837840080E0,4.405331016E-1,1.042914295E1,1.247866776E1
8.483638070E-1,6.512228489E0,4.596867263E-1,9.758766174E0,1.174112214E1
8.533991200E-1,5.928043365E0,4.501099288E-1,8.925583839E0,1.072428757E1
8.584039160E-1,5.621585369E0,3.639186621E-1,8.370129585E0,1.008928779E1
8.634392290E-1,5.104437828E0,2.011129409E-1,8.331821442E0,9.773176581E0
8.684745420E-1,4.663905144E0,-9.576806799E-3,8.111555099E0,9.356785187E0
8.735098550E-1,4.414907932E0,-3.830722570E-1,7.747636795E0,8.925470985E0
8.785146510E-1,4.252102375E0,-5.746083856E-1,7.335834026E0,8.498529889E0
8.835499640E-1,4.108449936E0,-6.512228847E-1,7.019799232E0,8.159720178E0
8.885852770E-1,4.175487995E0,-3.447650373E-1,6.847416878E0,8.027495302E0
8.935900730E-1,4.338293552E0,-2.106897533E-1,8.006210327E0,9.108489717E0
8.986253860E-1,4.951209068E0,-4.118026793E-1,9.126696587E0,1.039137350E1
9.036606990E-1,4.223371983E0,-7.661445439E-2,5.793968201E0,7.170272532E0
9.086960120E-1,3.878606796E0,-2.585737705E-1,5.410895824E0,6.662450352E0
9.137008080E-1,3.754108191E0,-9.576806426E-2,4.884171486E0,6.160976459E0
9.187361210E-1,3.983951569E0,7.565677166E-1,4.558559895E0,6.101207514E0
9.237714340E-1,4.434061527E0,1.417367458E0,3.926490784E0,6.089922989E0
9.287762300E-1,5.439626217E0,1.953668594E0,2.920926094E0,6.475968160E0
9.338115430E-1,6.426037312E0,2.355894566E0,1.963245392E0,7.120289826E0
9.388468560E-1,7.134721279E0,2.537853718E0,1.551442742E0,7.729936857E0
9.438821690E-1,7.460332394E0,2.461239338E0,1.474828243E0,7.993083063E0
